[TOKEN] Línea 1: Tipo=PACKAGE, Valor=package
[TOKEN] Línea 1: Tipo=VARIABLE, Valor=main
[TOKEN] Línea 2: Tipo=IMPORT, Valor=import
[TOKEN] Línea 2: Tipo=STRING, Valor="fmt"
[TOKEN] Línea 4: Tipo=TYPE, Valor=type
[TOKEN] Línea 4: Tipo=VARIABLE, Valor=Persona
[TOKEN] Línea 4: Tipo=STRUCT, Valor=struct
[TOKEN] Línea 4: Tipo=LBRACE, Valor={
[TOKEN] Línea 5: Tipo=VARIABLE, Valor=Nombre
[TOKEN] Línea 5: Tipo=STRING_TYPE, Valor=string
[TOKEN] Línea 6: Tipo=VARIABLE, Valor=Edad
[TOKEN] Línea 6: Tipo=INT_TYPE, Valor=int
[TOKEN] Línea 7: Tipo=RBRACE, Valor=}
[TOKEN] Línea 8: Tipo=FUNC, Valor=func
[TOKEN] Línea 8: Tipo=VARIABLE, Valor=calcularPromedio
[TOKEN] Línea 8: Tipo=LPAREN, Valor=(
[TOKEN] Línea 8: Tipo=VARIABLE, Valor=personas
[TOKEN] Línea 8: Tipo=LBRACKET, Valor=[
[TOKEN] Línea 8: Tipo=RBRACKET, Valor=]
[TOKEN] Línea 8: Tipo=VARIABLE, Valor=Persona
[TOKEN] Línea 8: Tipo=RPAREN, Valor=)
[TOKEN] Línea 8: Tipo=FLOAT64_TYPE, Valor=float64
[TOKEN] Línea 8: Tipo=LBRACE, Valor={
[TOKEN] Línea 9: Tipo=VAR, Valor=var
[TOKEN] Línea 9: Tipo=VARIABLE, Valor=suma
[TOKEN] Línea 9: Tipo=INT_TYPE, Valor=int
[TOKEN] Línea 10: Tipo=FOR, Valor=for
[TOKEN] Línea 10: Tipo=VARIABLE, Valor=_
[TOKEN] Línea 10: Tipo=COMMA, Valor=,
[TOKEN] Línea 10: Tipo=VARIABLE, Valor=p
[TOKEN] Línea 10: Tipo=ASIG, Valor=:=
[TOKEN] Línea 10: Tipo=RANGE, Valor=range
[TOKEN] Línea 10: Tipo=VARIABLE, Valor=personas
[TOKEN] Línea 10: Tipo=LBRACE, Valor={
[TOKEN] Línea 10: Tipo=VARIABLE, Valor=suma
[TOKEN] Línea 10: Tipo=PLUS, Valor=+
[TOKEN] Línea 10: Tipo=ASSIGN, Valor==
[TOKEN] Línea 10: Tipo=VARIABLE, Valor=p
[TOKEN] Línea 10: Tipo=DOT, Valor=.
[TOKEN] Línea 10: Tipo=VARIABLE, Valor=Edad
[TOKEN] Línea 11: Tipo=RBRACE, Valor=}
[TOKEN] Línea 12: Tipo=RETURN, Valor=return
[TOKEN] Línea 12: Tipo=FLOAT64_TYPE, Valor=float64
[TOKEN] Línea 12: Tipo=LPAREN, Valor=(
[TOKEN] Línea 12: Tipo=VARIABLE, Valor=suma
[TOKEN] Línea 12: Tipo=RPAREN, Valor=)
[TOKEN] Línea 12: Tipo=DIVIDE, Valor=/
[TOKEN] Línea 12: Tipo=FLOAT64_TYPE, Valor=float64
[TOKEN] Línea 12: Tipo=LPAREN, Valor=(
[TOKEN] Línea 12: Tipo=VARIABLE, Valor=len
[TOKEN] Línea 12: Tipo=LPAREN, Valor=(
[TOKEN] Línea 12: Tipo=VARIABLE, Valor=personas
[TOKEN] Línea 12: Tipo=RPAREN, Valor=)
[TOKEN] Línea 12: Tipo=RPAREN, Valor=)
[TOKEN] Línea 13: Tipo=RBRACE, Valor=}
[TOKEN] Línea 15: Tipo=FUNC, Valor=func
[TOKEN] Línea 15: Tipo=VARIABLE, Valor=main
[TOKEN] Línea 15: Tipo=LPAREN, Valor=(
[TOKEN] Línea 15: Tipo=RPAREN, Valor=)
[TOKEN] Línea 15: Tipo=LBRACE, Valor={
[TOKEN] Línea 16: Tipo=VARIABLE, Valor=grupo
[TOKEN] Línea 16: Tipo=ASIG, Valor=:=
[TOKEN] Línea 16: Tipo=LBRACKET, Valor=[
[TOKEN] Línea 16: Tipo=RBRACKET, Valor=]
[TOKEN] Línea 16: Tipo=VARIABLE, Valor=Persona
[TOKEN] Línea 16: Tipo=LBRACE, Valor={
[TOKEN] Línea 17: Tipo=LBRACE, Valor={
[TOKEN] Línea 17: Tipo=STRING, Valor="Ana"
[TOKEN] Línea 17: Tipo=COMMA, Valor=,
[TOKEN] Línea 17: Tipo=NUMBER, Valor=25
[TOKEN] Línea 17: Tipo=RBRACE, Valor=}
[TOKEN] Línea 17: Tipo=COMMA, Valor=,
[TOKEN] Línea 18: Tipo=LBRACE, Valor={
[TOKEN] Línea 18: Tipo=STRING, Valor="Luis"
[TOKEN] Línea 18: Tipo=COMMA, Valor=,
[TOKEN] Línea 18: Tipo=NUMBER, Valor=30
[TOKEN] Línea 18: Tipo=RBRACE, Valor=}
[TOKEN] Línea 18: Tipo=COMMA, Valor=,
[TOKEN] Línea 19: Tipo=LBRACE, Valor={
[TOKEN] Línea 19: Tipo=STRING, Valor="Carlos"
[TOKEN] Línea 19: Tipo=COMMA, Valor=,
[TOKEN] Línea 19: Tipo=NUMBER, Valor=35
[TOKEN] Línea 19: Tipo=RBRACE, Valor=}
[TOKEN] Línea 19: Tipo=COMMA, Valor=,
[TOKEN] Línea 20: Tipo=RBRACE, Valor=}
[TOKEN] Línea 22: Tipo=VARIABLE, Valor=promedio
[TOKEN] Línea 22: Tipo=ASIG, Valor=:=
[TOKEN] Línea 22: Tipo=VARIABLE, Valor=calcularPromedio
[TOKEN] Línea 22: Tipo=LPAREN, Valor=(
[TOKEN] Línea 22: Tipo=VARIABLE, Valor=grupo
[TOKEN] Línea 22: Tipo=RPAREN, Valor=)
[TOKEN] Línea 23: Tipo=FMT, Valor=fmt
[TOKEN] Línea 23: Tipo=DOT, Valor=.
[TOKEN] Línea 23: Tipo=PRINTF, Valor=Printf
